1,57
2,75
3,43
4,61
5,79
6,42
7,60
8,78
9,86
10,68
11,50
12,84
13,66
14,48
15,45
16,63
17,81
18,49
19,85
20,67
21,7
22,14
23,18
24,11
25,19
26,13
27,5
28,16
29,10
30,3
31,2
32,8
33,15
34,0
35,12
36,9
37,17
38,4
39,37
40,24
41,30
42,25
43,32
44,39
45,27
46,36
47,38
48,33
49,31
50,34
51,22
52,28
53,23
54,35
55,21
56,20
57,29
58,26
59,6
60,1
61,46
62,64
63,82
64,56
65,74
66,92
67,55
68,73
69,91
70,87
71,69
72,51
73,54
74,90
75,72
76,83
77,65
78,47
79,44
80,62
81,80
82,88
83,70
84,52
85,89
86,71
87,53
88,40
89,58
90,76
91,41
92,59
93,77
